gid,pid,detail,no_play,off,def,type,psr,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,back,hash,mot,box,pap,trick,qbp,qbhi,qbhu,qbru,sneak,scrm,htm,pru,blz,oop,oopd,cov_type,cnb,cball,qbta,high,crr,intw,drp,avsk,fread,scre,mbt,ttp,qbsk,ttpr,dot,yac,yaco,sep,qb_pos,inc_type,rte,read,concept,rmod,pres1_type,pres1_def,pres1_off,pres2_type,pres2_def,pres2_off,pres3_type,pres3_def,pres3_off,mt1_def,mt1_type,mt1_cause,mt2_def,mt2_type,mt2_cause,mt3_def,mt3_type,mt3_cause,pri_def,sec_def,shell,rpo,trg_sep,bb_off1,bb_def1,bb_off2,bb_def2,bb_off3,bb_def3,stunt,db_count,pru_show,blz1,blz2,blz3,blz4,pshell,bc_read
7034,1156005,"(5:18) (Shotgun) 10-B.Nix sacked at DEN 12 for -10 yards (32-N.Bolton). FUMBLES (32-N.Bolton), RECOVERED by KC-32-N.Bolton at DEN 12. 32-N.Bolton to DEN 12 for no gain (12-R.Harvey). The Replay Official reviewed the fumble ruling, and the play was REVERSED. (Shotgun) 10-B.Nix pass incomplete short middle to 1-E.Engram (32-N.Bolton) [56-G.Karlaftis].",FALSE,DEN,KC,PASS,00-0039732,00-0033881,,4,DEN 22,2,15,22,2,0,0,0,1,0,0,0,1,L,0,7,0,0,1,1,0,0,0,0,0,5,1,0,,,0,0,0,0,0,0,0,0,1,0,0,NA,0,2.6,-10,NA,NA,TCV,S,BPA,2 - Quick Out,1,,,,,,,,,,,,,,,,,,,,,00-0036621,,4,0,0,,,,,,,0,5,4,00-0036621,,,,Open,
7034,1156006,(5:13) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey pushed ob at DEN 29 for 7 yards (38-L.Sneed).,FALSE,DEN,KC,PASS,00-0039732,00-0040730,,4,DEN 22,3,15,22,2,7,1,0,1,0,1,0,1,L,0,6,0,0,0,0,0,0,0,0,0,4,0,0,,,0,1,0,0,0,0,0,0,0,0,0,2.7,0,NA,-7,14,5,WO,S,,10 - Swing,DES,,,,,,,,,,,,00-0037192,FLT,JK,,,,,,,00-0037192,,4,0,5+,,,,,,,0,5,4,,,,,Open,
7034,1156007,Timeout #1 by KC at 04:41.,TRUE,NA,NA,NOPL,,,,4,DEN 29,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7034,1156008,(4:41) (Shotgun) 10-B.Nix pass incomplete deep left to 11-T.Franklin (20-N.Williams) [56-G.Karlaftis].,FALSE,DEN,KC,PASS,00-0039732,00-0039868,,4,DEN 29,4,8,29,2,0,0,0,1,0,0,0,1,R,0,6,0,0,1,1,0,0,0,0,0,7,3,1,P,,1,0,0,0,0,0,0,0,0,0,0,5.1,0,2.6,31,NA,NA,TCV,S,CC,3 - Hitch/Curl,SD,,,P,00-0039006,00-0033881,P,00-0037192,00-0034847,,,,,,,,,,,,,00-0036374,,0,0,0,,,,,,,0,6,6,00-0036416,,,,Open,
7034,1156009,(4:32) 10-E.Johnson up the middle to DEN 22 for 6 yards (2-P.Surtain; 49-A.Singleton).,FALSE,KC,DEN,RUSH,,,00-0041013,4,DEN 28,1,10,72,4,6,1,0,0,0,0,0,2,L,1,9,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,4,,U,,,,Power,Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,3,0,,,,,,Tar Ang/Gap
7034,1156010,(3:45) 10-E.Johnson left guard to DEN 21 for 1 yard (92-D.Tillman).,FALSE,KC,DEN,RUSH,,,00-0041013,4,DEN 22,2,4,78,4,1,0,0,0,0,0,0,1,L,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Inside Zone,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5,0,,,,,,Tar Ang/Gap
7034,1156011,(3:02) 10-E.Johnson left guard to DEN 18 for 3 yards (92-D.Tillman).,FALSE,KC,DEN,RUSH,,,00-0041013,4,DEN 21,3,3,79,4,3,1,1,0,0,0,0,2,L,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Outside Zone,Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4,0,,,,,,Tar Ang/Gap
7034,1156012,(2:20) 10-E.Johnson up the middle to DEN 14 for 4 yards (22-B.Jones; 51-Q.Robinson).,FALSE,KC,DEN,RUSH,,,00-0041013,4,DEN 18,1,10,82,5,4,0,0,0,0,0,0,1,L,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,U,,,,Inside Zone,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4,0,,,,,,Tar Ang/Gap
7034,1156013,(2:00) 15-P.Mahomes kneels to DEN 15 for -1 yards.,FALSE,KC,DEN,RUSH,,,00-0033873,4,DEN 14,2,6,86,5,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,Kneel,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7034,1156014,(1:19) 15-P.Mahomes kneels to DEN 17 for -2 yards.,FALSE,KC,DEN,RUSH,,,00-0033873,4,DEN 15,3,7,85,5,-2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,Kneel,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7034,1156015,(:40) 15-P.Mahomes kneels to DEN 18 for -1 yards.,FALSE,KC,DEN,RUSH,,,00-0033873,4,DEN 17,4,9,83,5,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,Kneel,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7034,1156016,(:36) 10-B.Nix kneels to DEN 18 for -1 yards.,FALSE,DEN,KC,RUSH,,,00-0039732,4,DEN 19,1,10,19,1,-1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,Kneel,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7035,1156017,"39-J.Bates kicks 66 yards from DET 35 to BUF -1. 19-G.Dortch to BUF 26 for 27 yards (66-E.O'Neill). PENALTY on BUF-28-S.Franklin, Offensive Holding, 10 yards, enforced at BUF 25.",FALSE,BUF,DET,KOFF,,,,1,DET 35,0,0,65,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7035,1156018,(14:51) 17-J.Allen pass short left to 10-K.Shakir pushed ob at BUF 24 for 9 yards (45-D.White).,FALSE,BUF,DET,PASS,00-0034857,00-0037261,,1,BUF 15,1,10,15,1,9,1,0,0,0,1,0,1,R,1,8,1,0,1,0,1,0,0,0,0,6,2,1,DR,,0,1,0,0,0,0,0,0,0,0,0,2.2,0,1.9,-1,10,1,OPN,U,,8 - Shallow Cross/Drag,DES,,,U,00-0034384,,,,,,,,,,,,,,,,,00-0035707,,3,0,5+,,,,,,,0,4,6,,,,,Open,
