gid,pid,detail,no_play,off,def,type,psr,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,back,hash,mot,box,pap,trick,qbp,qbhi,qbhu,qbru,sneak,scrm,htm,pru,blz,oop,oopd,cov_type,cnb,cball,qbta,high,crr,intw,drp,avsk,fread,scre,mbt,ttp,qbsk,ttpr,dot,yac,yaco,sep,qb_pos,inc_type,rte,read,concept,rmod,pres1_type,pres1_def,pres1_off,pres2_type,pres2_def,pres2_off,pres3_type,pres3_def,pres3_off,mt1_def,mt1_type,mt1_cause,mt2_def,mt2_type,mt2_cause,mt3_def,mt3_type,mt3_cause,pri_def,sec_def,shell,rpo,trg_sep,bb_off1,bb_def1,bb_off2,bb_def2,bb_off3,bb_def3,stunt,db_count
6757,1109930,(12:24) (Shotgun) 17-J.Allen pass short middle to 86-D.Kincaid to NYJ 30 for 4 yards (22-T.Adams).,FALSE,BUF,NYJ,PASS,00-0034857,00-0038933,,1,NYJ 34,1,10,66,4,4,0,0,1,0,1,0,1,L,0,6,0,0,0,0,0,0,0,0,0,4,0,0,,,0,1,0,0,0,0,0,0,1,0,0,2.2,0,NA,3,1,1,CLS,S,,8 - Shallow Cross/Drag,1,,,,,,,,,,,,,,,,,,,,,00-0037155,,C,0,3,,,,,,,0,4
6757,1109931,(11:51) 4-J.Cook right tackle to NYJ 26 for 4 yards (11-J.Johnson).,FALSE,BUF,NYJ,RUSH,,,00-0037248,1,NYJ 30,2,6,70,4,4,1,0,0,0,0,0,1,L,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Man/Duo,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4
6757,1109932,(11:10) 22-R.Davis right tackle to NYJ 25 for 1 yard (22-T.Adams).,FALSE,BUF,NYJ,RUSH,,,00-0039875,1,NYJ 26,3,2,74,4,1,0,0,0,0,0,0,1,M,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1,,U,,,,Man/Duo,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5
6757,1109933,(10:25) 70-A.Anderson reported in as eligible. 22-R.Davis right tackle to NYJ 21 for 4 yards (11-J.Johnson; 51-F.Mauigoa).,FALSE,BUF,NYJ,RUSH,,,00-0039875,1,NYJ 25,4,1,75,4,4,1,1,0,0,0,0,1,M,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1,,U,,,,Man/Duo,Pull Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4
6757,1109934,(9:46) 4-J.Cook right guard to NYJ 18 for 3 yards (22-T.Adams).,FALSE,BUF,NYJ,RUSH,,,00-0037248,1,NYJ 21,1,10,79,4,3,0,0,0,0,0,0,1,R,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,U,,,,Man/Duo,Split,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4
6757,1109935,"(9:05) (Shotgun) 17-J.Allen pass incomplete short left. PENALTY on BUF-17-J.Allen, Intentional Grounding, 12 yards, enforced at NYJ 18.",FALSE,BUF,NYJ,PASS,00-0034857,,,1,NYJ 18,2,7,82,5,0,0,0,1,0,0,0,1,R,1,6,0,0,1,0,1,0,0,0,0,4,0,1,BL,,0,0,0,0,0,0,0,0,0,0,0,6.4,0,5.2,-3,NA,NA,,S,PEN,,,,,P,00-0039284,00-0036976,P,00-0039142,00-0033904,,,,,,,,,,,,,,,2,0,,,,,,,,0,5
6757,1109936,"(8:58) (Shotgun) 17-J.Allen pass incomplete short right to 10-K.Shakir (30-M.Carter). PENALTY on NYJ-72-M.Clemons, Roughing the Passer, 15 yards, enforced at NYJ 30 - No Play.",TRUE,BUF,NYJ,NOPL,00-0034857,,,1,NYJ 30,3,19,70,4,0,1,1,1,0,0,0,0,L,1,5,0,0,1,0,1,0,0,0,0,4,0,1,BL,,0,0,0,0,0,0,0,0,0,0,0,3.5,0,3.1,0,NA,NA,TCV,S,PEN,2 - Quick Out,SD,,,P,00-0038107,00-0038548,,,,,,,,,,,,,,,,00-0036501,,1,0,0,,,,,,,0,5
6757,1109937,(8:54) (Shotgun) 4-J.Cook up the middle to NYJ 7 for 8 yards (8-A.Cisco; 44-J.Sherwood).,FALSE,BUF,NYJ,RUSH,,,00-0037248,1,NYJ 15,1,10,85,5,8,1,0,1,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,S,,,,Power,Read Option,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,5
6757,1109938,"(8:13) (Shotgun) 4-J.Cook left guard to NYJ 1 for 6 yards (96-L.Taylor, 44-J.Sherwood).",FALSE,BUF,NYJ,RUSH,,,00-0037248,1,NYJ 7,2,2,93,5,6,1,1,1,0,0,0,1,R,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,6,,S,,,,Power,Pull Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5
6757,1109939,"(7:33) 4-J.Cook right tackle for 1 yard, TOUCHDOWN.",FALSE,BUF,NYJ,RUSH,,,00-0037248,1,NYJ 1,1,1,99,5,1,1,1,0,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Man/Duo,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5
6757,1109940,"15-M.Prater extra point is GOOD, Center-69-R.Ferguson, Holder-16-C.Johnston.",FALSE,BUF,NYJ,FGXP,,,,1,NYJ 15,0,0,85,5,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6757,1109941,15-M.Prater kicks 63 yards from BUF 35 to NYJ 2. 18-I.Williams to NYJ 19 for 17 yards (28-S.Franklin).,FALSE,NYJ,BUF,KOFF,,,,1,BUF 35,0,0,65,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6757,1109942,"(7:24) 7-J.Fields scrambles up the middle to NYJ 20 for 1 yard (97-J.Bosa; 58-M.Milano). FUMBLES (97-J.Bosa), RECOVERED by BUF-57-A.Epenesa at NYJ 24.",FALSE,NYJ,BUF,RUSH,,,00-0036945,1,NYJ 19,1,10,19,1,1,0,0,0,0,0,0,1,R,1,7,1,0,1,0,1,0,0,1,0,0,0,1,BT,,0,0,0,0,0,0,0,1,0,0,0,NA,0,4.5,NA,NA,NA,,U,,,SD,,,U,00-0036192,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,0,4
6757,1109943,"(7:14) 4-J.Cook right guard to NYJ 19 for 5 yards (95-Q.Williams, 22-T.Adams).",FALSE,BUF,NYJ,RUSH,,,00-0037248,1,NYJ 24,1,10,76,4,5,1,0,0,0,0,0,1,M,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Man/Duo,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4
6757,1109944,(6:34) (Shotgun) 17-J.Allen pass short left to 88-D.Knox to NYJ 12 for 7 yards (44-J.Sherwood).,FALSE,BUF,NYJ,PASS,00-0034857,00-0035689,,1,NYJ 19,2,5,81,5,7,1,1,1,0,1,0,2,M,1,7,1,0,0,0,0,0,0,0,0,4,0,0,,,0,1,0,0,0,0,0,0,0,0,0,3.2,0,NA,4,3,2,CLS,S,,8 - Shallow Cross/Drag,2,,,,,,,,,,,,,,,,,,,,,00-0036500,,2M,0,1,,,,,,,0,5
6757,1109945,(5:54) (Shotgun) 17-J.Allen pass incomplete short left to 26-Ty.Johnson (56-Qu.Williams).,FALSE,BUF,NYJ,PASS,00-0034857,00-0035537,,1,NYJ 12,1,10,88,5,0,0,0,1,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,4,0,0,,,1,0,0,0,0,0,0,0,0,1,0,1.9,0,NA,-4,NA,NA,CLS,S,FI,0 - Screen,DES,,,,,,,,,,,,,,,,,,,,,00-0035680,,9,0,1,,,,,,,0,5
6757,1109946,(5:48) (Shotgun) 4-J.Cook right tackle to NYJ 10 for 2 yards (11-J.Johnson; 97-H.Phillips).,FALSE,BUF,NYJ,RUSH,,,00-0037248,1,NYJ 12,2,10,88,5,2,0,0,1,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1,,S,,,,Power,Pull Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5
6757,1109947,"(5:08) (Shotgun) 17-J.Allen pass incomplete short left to 86-D.Kincaid. Penalty on BUF-5-J.Palmer, Offensive Offside, declined.",FALSE,BUF,NYJ,PASS,00-0034857,00-0038933,,1,NYJ 10,3,8,90,5,0,0,0,1,0,0,0,0,R,0,6,0,0,1,0,1,0,0,0,0,4,0,1,P,,0,0,0,0,0,0,0,1,0,0,0,3,0,1.4,10,NA,NA,TCV,S,IAT,4 - Deep Out,SD,,,P,00-0035718,00-0035668,,,,,,,,,,,,,,,,00-0036501,,0,0,0,,,,,,,0,5
6757,1109948,"(5:04) 15-M.Prater 28 yard field goal is GOOD, Center-69-R.Ferguson, Holder-16-C.Johnston.",FALSE,BUF,NYJ,FGXP,,,,1,NYJ 10,4,8,90,5,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6757,1109949,15-M.Prater kicks 63 yards from BUF 35 to NYJ 2. 18-I.Williams to NYJ 25 for 23 yards (28-S.Franklin). NYJ-51-F.Mauigoa was injured during the play.,FALSE,NYJ,BUF,KOFF,,,,1,BUF 35,0,0,65,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0
6757,1109950,(4:55) 61-M.Mitchell reported in as eligible. 20-B.Hall left tackle to NYJ 37 for 12 yards (24-C.Bishop).,FALSE,NYJ,BUF,RUSH,,,00-0038120,1,NYJ 25,1,10,25,2,12,1,1,0,0,0,0,2,R,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Man/Duo,Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4
