"","season","posteam","week","penalty_type","plays"
"296",2024,"CIN",4,NA,76
"297",2024,"CIN",5,"Defensive Pass Interference",1
"298",2024,"CIN",5,"Delay of Game",1
"299",2024,"CIN",5,"False Start",2
"300",2024,"CIN",5,"Illegal Use of Hands",1
"301",2024,"CIN",5,"Neutral Zone Infraction",1
"302",2024,"CIN",5,"Roughing the Passer",1
"303",2024,"CIN",5,NA,85
"304",2024,"CIN",6,"Intentional Grounding",1
"305",2024,"CIN",6,"Offensive Holding",1
"306",2024,"CIN",6,NA,64
"307",2024,"CIN",7,"Defensive Offside",1
"308",2024,"CIN",7,"Delay of Game",1
"309",2024,"CIN",7,"Offensive Holding",1
"310",2024,"CIN",7,"Roughing the Passer",1
"311",2024,"CIN",7,NA,70
"312",2024,"CIN",8,NA,71
"313",2024,"CLE",1,"Defensive Too Many Men on Field",1
"314",2024,"CLE",1,"False Start",2
"315",2024,"CLE",1,"Illegal Contact",1
"316",2024,"CLE",1,"Illegal Formation",3
"317",2024,"CLE",1,"Illegal Shift",1
"318",2024,"CLE",1,"Ineligible Downfield Pass",1
"319",2024,"CLE",1,"Offensive Holding",3
"320",2024,"CLE",1,"Unnecessary Roughness",1
"321",2024,"CLE",1,NA,85
"322",2024,"CLE",2,"Defensive Pass Interference",1
"323",2024,"CLE",2,"Face Mask",1
"324",2024,"CLE",2,"Illegal Block Above the Waist",1
"325",2024,"CLE",2,"Illegal Shift",2
"326",2024,"CLE",2,"Offensive Holding",5
"327",2024,"CLE",2,"Roughing the Passer",2
"328",2024,"CLE",2,NA,76
"329",2024,"CLE",3,"Defensive Offside",1
"330",2024,"CLE",3,"Defensive Pass Interference",1
"331",2024,"CLE",3,"False Start",1
"332",2024,"CLE",3,"Intentional Grounding",1
"333",2024,"CLE",3,"Neutral Zone Infraction",1
"334",2024,"CLE",3,"Offensive Holding",1
"335",2024,"CLE",3,NA,76
"336",2024,"CLE",4,"False Start",1
"337",2024,"CLE",4,"Illegal Shift",1
"338",2024,"CLE",4,"Offensive Holding",1
"339",2024,"CLE",4,"Roughing the Passer",1
"340",2024,"CLE",4,NA,69
"341",2024,"CLE",5,"Defensive Offside",2
"342",2024,"CLE",5,"Delay of Game",1
"343",2024,"CLE",5,"Fair Catch Interference",1
"344",2024,"CLE",5,"False Start",4
"345",2024,"CLE",5,"Ineligible Downfield Pass",1
"346",2024,"CLE",5,NA,78
"347",2024,"CLE",6,"Delay of Game",1
"348",2024,"CLE",6,"Face Mask",1
"349",2024,"CLE",6,"False Start",3
"350",2024,"CLE",6,"Offensive Holding",3
"351",2024,"CLE",6,"Roughing the Passer",1
"352",2024,"CLE",6,NA,67
"353",2024,"CLE",7,"Defensive Pass Interference",1
"354",2024,"CLE",7,"False Start",1
"355",2024,"CLE",7,"Illegal Shift",2
"356",2024,"CLE",7,"Illegal Use of Hands",1
"357",2024,"CLE",7,"Ineligible Downfield Pass",1
"358",2024,"CLE",7,"Intentional Grounding",1
"359",2024,"CLE",7,"Lowering the Head to Make Forcible Contact",1
"360",2024,"CLE",7,"Offensive Offside",1
"361",2024,"CLE",7,NA,89
"362",2024,"CLE",8,"False Start",3
"363",2024,"CLE",8,"Illegal Use of Hands",1
"364",2024,"CLE",8,"Offensive Holding",1
"365",2024,"CLE",8,NA,81
"366",2024,"DAL",1,"Defensive Offside",2
"367",2024,"DAL",1,"Delay of Game",2
"368",2024,"DAL",1,"False Start",1
"369",2024,"DAL",1,"Illegal Block Above the Waist",1
"370",2024,"DAL",1,"Offensive Holding",2
"371",2024,"DAL",1,"Player Out of Bounds on Kick",1
"372",2024,"DAL",1,NA,76
"373",2024,"DAL",2,"Defensive Holding",2
"374",2024,"DAL",2,"False Start",1
"375",2024,"DAL",2,"Ineligible Downfield Pass",1
"376",2024,"DAL",2,"Offensive Holding",1
"377",2024,"DAL",2,NA,82
