gid,pid,detail,no_play,off,def,type,psr,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,back,hash,mot,box,pap,trick,qbp,qbhi,qbhu,qbru,sneak,scrm,htm,pru,blz,oop,oopd,cov_type,cnb,cball,qbta,high,crr,intw,drp,avsk,fread,scre,mbt,ttp,qbsk,ttpr,dot,yac,yaco,sep,qb_pos,inc_type,rte,read,concept,rmod,pres1_type,pres1_def,pres1_off,pres2_type,pres2_def,pres2_off,pres3_type,pres3_def,pres3_off,mt1_def,mt1_type,mt1_cause,mt2_def,mt2_type,mt2_cause,mt3_def,mt3_type,mt3_cause,pri_def,sec_def,shell,rpo,trg_sep,bb_off1,bb_def1,bb_off2,bb_def2,bb_off3,bb_def3
6449,1058005,(10:26) (Shotgun) 22-D.Henry up the middle to KC 24 for 3 yards (54-L.Chenal; 32-N.Bolton).,FALSE,BLT,KC,RUSH,,,00-0032764,1,KC 27,2,4,73,4,3,1,0,1,0,0,0,1,R,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1,,P,,,,Power,Pull Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058006,(9:40) (Shotgun) 8-L.Jackson left end ran ob at KC 13 for 11 yards (20-J.Reid).,FALSE,BLT,KC,RUSH,,,00-0034796,1,KC 24,3,1,76,4,11,1,1,1,0,0,0,1,L,0,7,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,S,,,,Inside Zone,Read Option,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058007,(9:00) (Shotgun) 8-L.Jackson left end to KC 5 for 8 yards (20-J.Reid).,FALSE,BLT,KC,RUSH,,,00-0034796,1,KC 13,1,10,87,5,8,1,0,1,0,0,0,0,L,1,6,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,3,,S,,,,Outside Zone,Pull Lead,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6449,1058008,"(8:18) 22-D.Henry right guard for 5 yards, TOUCHDOWN.",FALSE,BLT,KC,RUSH,,,00-0032764,1,KC 5,2,2,95,5,5,1,1,0,0,0,0,2,L,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,3,,U,,,,Inside Zone,Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058009,"9-J.Tucker extra point is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",FALSE,BLT,KC,FGXP,,,,1,KC 15,0,0,85,5,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058010,9-J.Tucker kicks 60 yards from BLT 35 to KC 5. 42-C.Steele to KC 33 for 28 yards (49-C.Board; 25-K.Hollman).,FALSE,KC,BLT,KOFF,,,,1,BAL 35,0,0,65,4,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058011,"(8:09) (Shotgun) 15-P.Mahomes pass short left to 4-R.Rice to KC 44 for 11 yards (32-M.Williams, 0-R.Smith).",FALSE,KC,BLT,PASS,00-0033873,00-0039067,,1,KC 33,1,10,33,2,11,1,1,1,0,1,0,1,R,1,6,1,0,0,0,0,0,0,0,0,5,1,0,,M-SNH,0,1,0,0,0,0,0,0,1,0,0,1.2,0,NA,4,7,1,STP,S,,2 - Quick Out,1,,,,,,,,,,,,,,,,,,,,,00-0033281,,3,1,1,,,,,,
6449,1058012,(7:39) (Shotgun) 15-P.Mahomes sacked at KC 44 for 0 yards (sack split by 23-T.Simpson and 92-J.Madubuike).,FALSE,KC,BLT,PASS,00-0033873,,,1,KC 44,1,10,44,3,0,0,0,1,0,0,0,1,M,1,6,0,0,1,1,0,0,0,0,0,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,3.4,NA,NA,NA,,S,,,,,,P,00-0036130,00-0036660,,,,,,,,,,,,,,,,,,2M,0,,,,,,,
6449,1058013,(7:03) 10-I.Pacheco up the middle to KC 48 for 4 yards (92-J.Madubuike; 0-R.Smith).,FALSE,KC,BLT,RUSH,,,00-0037197,1,KC 44,2,10,44,3,4,0,0,0,0,0,0,1,L,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1,,U,,,,Inside Zone,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058014,"(6:23) (Shotgun) 15-P.Mahomes pass short middle to 4-R.Rice to BLT 36 for 16 yards (0-R.Smith).PENALTY on BLT-0-R.Smith, Horse Collar Tackle, 15 yards, enforced at BLT 36.",FALSE,KC,BLT,PASS,00-0033873,00-0039067,,1,KC 48,3,6,48,3,16,1,1,1,0,1,0,1,L,1,5,0,0,0,0,0,0,0,0,0,4,0,0,,Z-HIZ,0,1,0,0,0,0,0,0,1,0,0,2.4,0,NA,4,12,3,OPN,S,,1 - Slant,1,,,,,,,,,,,,,,,,,,,,,00-0034874,,C,0,3,,,,,,
6449,1058015,"(6:02) 1-X.Worthy right end for 21 yards, TOUCHDOWN.",FALSE,KC,BLT,RUSH,,,00-0039894,1,BAL 21,1,10,79,4,21,1,1,0,0,0,0,1,L,1,6,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,5,,U,,,,Trick/WR Run,Misdirection,,,,,,,,,,00-0031360,2ND,GB,00-0036280,DFD,GB,,,,,,,0,,,,,,,
6449,1058016,"7-H.Butker extra point is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",FALSE,KC,BLT,FGXP,,,,1,BAL 15,0,0,85,5,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058017,"7-H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the BLT 30.",FALSE,BLT,KC,KOFF,,,,1,KC 35,0,0,65,4,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058018,(5:55) 8-L.Jackson pass short left to 80-I.Likely to BLT 45 for 15 yards (6-B.Cook).,FALSE,BLT,KC,PASS,00-0034796,00-0037838,,1,BAL 30,1,10,30,2,15,1,1,0,0,1,0,2,R,1,7,1,0,0,0,0,0,0,0,0,6,2,0,,M-SNH,0,1,0,0,0,0,0,0,1,0,0,3,0,NA,11,4,0,WO,U,,4 - Deep Out,1,,,,,,,,,,,,,,,,,,,,,00-0034361,,1,0,5+,,,,,,
6449,1058019,(5:13) 22-D.Henry left end to BLT 46 for 1 yard (98-T.Wharton; 54-L.Chenal).,FALSE,BLT,KC,RUSH,,,00-0032764,1,BAL 45,1,10,45,3,1,0,0,0,0,0,0,2,L,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1,,U,,,,Outside Zone,Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058020,(4:29) (Shotgun) 8-L.Jackson pass short right to 4-Z.Flowers to BLT 49 for 3 yards (22-T.McDuffie).,FALSE,BLT,KC,PASS,00-0034796,00-0039064,,1,BAL 46,2,9,46,3,3,0,0,1,0,1,0,1,L,0,4,0,0,0,0,0,0,0,0,0,3,0,0,,Z-UND,0,1,0,0,0,0,0,0,1,0,0,2.1,0,NA,3,0,0,OPN,S,,2 - Quick Out,1,,,,,,,,,,,,,,,,,,,,,00-0037191,,2,0,1,,,,,,
6449,1058021,(3:48) (Shotgun) 8-L.Jackson pass short right to 43-J.Hill to 50 for 1 yard (20-J.Reid).,FALSE,BLT,KC,PASS,00-0034796,00-0034975,,1,BAL 49,3,6,49,3,1,0,0,1,0,1,0,1,R,0,5,0,0,0,0,0,0,0,0,0,6,2,0,,M-SNH,0,1,0,0,0,0,0,0,1,0,0,1.8,0,NA,-1,2,0,OPN,S,,10 - Swing,1,,,,,,,,,,,,,,,,,,,,,00-0034361,,0,0,1,,,,,,
6449,1058022,"(3:03) 11-J.Stout punts 40 yards to KC 10, Center-46-N.Moore, fair catch by 17-M.Hardman.",FALSE,BLT,KC,PUNT,,,,1,MID 50,4,5,50,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058023,(2:55) (Shotgun) 15-P.Mahomes pass short left to 10-I.Pacheco ran ob at KC 33 for 23 yards (21-B.Stephens) [53-K.Van Noy].,FALSE,KC,BLT,PASS,00-0033873,00-0037197,,1,KC 10,1,10,10,1,23,1,1,1,0,1,0,1,L,1,6,1,0,1,1,0,0,0,0,0,4,0,0,,Z-UND,0,1,0,0,0,0,0,0,0,0,0,3.2,0,NA,-4,27,22,WO,S,,10 - Swing,CHK,,,,,,,,,,,,00-0036280,FLT,JK,,,,,,,00-0036280,,2M,0,5+,,,,,,
6449,1058024,(2:19) (Shotgun) 15-P.Mahomes pass short middle to 4-R.Rice to BLT 48 for 19 yards (39-E.Jackson).,FALSE,KC,BLT,PASS,00-0033873,00-0039067,,1,KC 33,1,10,33,2,19,1,1,1,0,1,0,0,L,0,4,0,0,0,0,0,0,0,0,0,4,0,0,,Z-HIZ,0,1,0,0,0,0,0,0,1,0,0,1.9,0,NA,3,16,1,OPN,S,,1 - Slant,1,,,,,,,,,,,,,,,,,,,,,00-0034874,,2,0,1,,,,,,
6449,1058025,(1:39) (Shotgun) 10-I.Pacheco up the middle to BLT 47 for 1 yard (96-B.Washington; 14-K.Hamilton).,FALSE,KC,BLT,RUSH,,,00-0037197,1,BAL 48,1,10,52,3,1,0,0,1,0,0,0,1,L,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,1,,P,,,,Power,Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058026,(1:09) 15-P.Mahomes pass short right to 4-R.Rice to BLT 46 for 1 yard (99-O.Oweh; 2-N.Wiggins).,FALSE,KC,BLT,PASS,00-0033873,00-0039067,,1,BAL 47,2,9,53,3,1,0,0,0,0,1,0,1,L,0,6,1,0,0,0,0,0,0,0,0,5,1,0,,M-SNH,0,1,0,0,0,0,0,0,0,1,0,1.5,0,NA,-3,4,0,OPN,U,,0 - Screen,DES,,,,,,,,,,,,,,,,,,,,,00-0039232,,1,0,2,,,,,,
6449,1058027,(:29) (Shotgun) 15-P.Mahomes sacked at KC 44 for -10 yards (90-D.Ojabo).,FALSE,KC,BLT,PASS,00-0033873,,,1,BAL 46,3,8,54,3,-10,0,0,1,0,0,0,1,R,1,5,0,0,1,1,0,0,0,0,0,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.3,NA,NA,NA,,S,,,,,,P,00-0038142,00-0039844,P,00-0037756,00-0032391,,,,,,,,,,,,,,,2,0,,,,,,,
6449,1058028,"(15:00) 14-M.Araiza punts 56 yards to end zone, Center-41-J.Winchester, Touchback.",FALSE,KC,BLT,PUNT,,,,2,KC 44,4,18,44,3,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058029,"(14:53) 8-L.Jackson sacked at BLT 13 for -7 yards (95-C.Jones). FUMBLES (95-C.Jones), RECOVERED by KC-97-F.Anudike-Uzomah at BLT 14.",FALSE,BLT,KC,PASS,00-0034796,,,2,BAL 20,1,10,20,2,-6,0,0,0,0,0,0,1,L,0,8,1,0,1,0,0,0,0,0,0,6,2,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.3,NA,NA,NA,,U,,,,,,P,00-0032762,00-0038118,P,00-0030757,00-0037825,,,,,,,,,,,,,,,1,0,,,,,,,
6449,1058030,"(14:44) (Shotgun) Direct snap to 10-I.Pacheco.  10-I.Pacheco left end to BLT 11 for 3 yards (99-O.Oweh).PENALTY on KC-87-T.Kelce, Offensive Holding, 10 yards, enforced at BLT 14 - No Play.",TRUE,KC,BLT,NOPL,,,00-0037197,2,BAL 14,1,10,86,5,0,0,0,1,0,0,0,0,M,0,7,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,3,,S,,,,Outside Zone,Pull Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058031,(14:30) 15-P.Mahomes pass incomplete short right to 10-I.Pacheco.,FALSE,KC,BLT,PASS,00-0033873,00-0037197,,2,BAL 24,1,20,76,4,0,0,0,0,0,0,0,0,M,1,6,0,0,0,0,0,0,0,0,0,4,0,0,,Z-HIZ,0,1,0,0,0,0,1,0,1,0,0,2.2,0,NA,11,NA,NA,OPN,U,DP,10 - Swing,1,,,,,,,,,,,,,,,,,,,,,00-0036280,00-0033281,2,0,2,,,,,,
6449,1058032,Timeout #1 by KC at 14:26.,TRUE,NA,NA,NOPL,,,,2,BAL 24,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058033,(14:26) 15-P.Mahomes pass short middle to 83-N.Gray to BLT 13 for 11 yards (0-R.Smith; 14-K.Hamilton).,FALSE,KC,BLT,PASS,00-0033873,00-0036637,,2,BAL 24,2,20,76,4,11,1,0,0,0,1,0,1,M,0,7,0,0,0,0,0,0,0,0,0,4,0,0,,Z-HIZ,1,1,0,0,0,0,0,0,1,0,0,2.3,0,NA,10,1,0,CLS,U,,5 - In/Dig,1,,,,,,,,,,,,,,,,,,,,,00-0034874,00-0038038,2,0,0,,,,,,
6449,1058034,(13:44) (Shotgun) 15-P.Mahomes pass incomplete short left to 9-J.Smith-Schuster (32-M.Williams) [99-O.Oweh].,FALSE,KC,BLT,PASS,00-0033873,00-0033857,,2,BAL 13,3,9,87,5,0,0,0,1,0,0,0,1,M,1,6,0,0,1,1,0,0,0,0,0,4,0,0,,M-SNH,1,1,0,0,0,0,0,0,1,0,0,2.3,0,NA,13,NA,NA,TCV,U,CC,4 - Deep Out,1,,,,,,,,,,,,,,,,,,,,,00-0033894,,2M,0,0,,,,,,
6449,1058035,"(13:40) 7-H.Butker 32 yard field goal is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",FALSE,KC,BLT,FGXP,,,,2,BAL 13,4,9,87,5,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058036,"7-H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the BLT 30.",FALSE,BLT,KC,KOFF,,,,2,KC 35,0,0,65,4,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058037,(13:37) (Shotgun) 8-L.Jackson pass short left to 4-Z.Flowers to BLT 37 for 7 yards (27-C.Conner).,FALSE,BLT,KC,PASS,00-0034796,00-0039064,,2,BAL 30,1,10,30,2,7,1,0,1,0,1,0,1,R,1,5,1,0,0,0,0,0,0,0,0,4,0,0,,Z-UND,0,1,0,0,0,0,0,0,0,1,0,1.3,0,NA,-3,10,2,WO,S,,0 - Screen,DES,,,,,,,,,,,,,,,,,,,,,00-0036621,,2M,0,5+,,,,,,
6449,1058038,(12:59) (Shotgun) 22-D.Henry left guard to BLT 43 for 6 yards (23-D.Tranquill).,FALSE,BLT,KC,RUSH,,,00-0032764,2,BAL 37,2,3,37,2,6,1,1,1,0,0,0,2,L,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,P,,,,Power,Split,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058039,(12:17) 8-L.Jackson pass short right to 80-I.Likely to BLT 48 for 5 yards (27-C.Conner).,FALSE,BLT,KC,PASS,00-0034796,00-0037838,,2,BAL 43,1,10,43,3,5,1,0,0,0,1,0,1,L,1,7,1,0,1,0,1,0,0,0,0,4,0,0,,Z-UND,0,1,0,0,0,0,0,0,0,0,0,2.8,0,2.5,-2,7,1,WO,U,,2 - Quick Out,CHK,,,P,00-0037192,00-0037838,U,00-0032762,,,,,,,,,,,,,,00-0036621,,2,0,5+,,,,,,
6449,1058040,"(11:36) (Shotgun) 8-L.Jackson pass short left to 4-Z.Flowers to KC 48 for 4 yards (98-T.Wharton; 22-T.McDuffie).PENALTY on BLT-7-R.Bateman, Offensive Pass Interference, 10 yards, enforced at BLT 48 - No Play.",TRUE,BLT,KC,NOPL,00-0034796,,,2,BAL 48,2,5,48,3,0,0,0,1,0,0,0,0,R,1,5,0,0,0,0,0,0,0,0,0,3,0,0,,Z-UND,0,1,0,0,0,0,0,0,0,1,0,1.2,0,NA,0,NA,1,WO,S,,0 - Screen,DES,,,,,,,,,,,,,,,,,,,,,00-0039006,,2,0,5+,,,,,,
6449,1058041,"(11:13) (Shotgun) 8-L.Jackson scrambles right guard to BLT 43 for 5 yards (20-J.Reid, 23-D.Tranquill).",FALSE,BLT,KC,RUSH,,,00-0034796,2,BAL 38,2,15,38,2,5,0,0,1,0,0,0,1,R,1,6,0,0,0,0,0,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,3,,S,,,,Draw,QB Run,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6449,1058042,(10:28) (Shotgun) 8-L.Jackson scrambles right end pushed ob at 50 for 7 yards (35-Ja.Watson; 32-N.Bolton).,FALSE,BLT,KC,RUSH,,,00-0034796,2,BAL 43,3,10,43,3,7,0,0,1,0,0,0,1,R,0,4,0,0,0,0,0,0,0,1,0,4,0,1,BL,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,S,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,
6449,1058043,(9:45) (Shotgun) 8-L.Jackson pass short right to 4-Z.Flowers to KC 49 for 1 yard (22-T.McDuffie).,FALSE,BLT,KC,PASS,00-0034796,00-0039064,,2,MID 50,4,3,50,3,1,0,0,1,0,1,0,1,R,0,7,0,0,0,0,0,0,0,0,0,4,0,0,,Z-UND,0,1,0,0,0,0,0,0,1,0,0,1.3,0,NA,-1,2,2,OPN,S,,2 - Quick Out,1,,,,,,,,,,,,,,,,,,,,,00-0037191,,3,0,2,,,,,,
6449,1058044,(9:39) 10-I.Pacheco right tackle to BLT 49 for 2 yards (58-M.Pierce; 23-T.Simpson).,FALSE,KC,BLT,RUSH,,,00-0037197,2,KC 49,1,10,49,3,2,0,0,0,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2,,U,,,,Outside Zone,Misdirection,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058045,(9:02) (Shotgun) 15-P.Mahomes pass short left to 87-T.Kelce to BLT 48 for 1 yard (44-M.Humphrey).,FALSE,KC,BLT,PASS,00-0033873,00-0030506,,2,BAL 49,2,8,51,3,1,0,0,1,0,1,0,1,R,1,5,1,0,0,0,0,0,0,0,0,4,0,0,,Z-UND,0,1,0,0,0,0,0,0,1,0,0,1.3,0,NA,-1,2,2,OPN,S,,2 - Quick Out,1,,,,,,,,,,,,,,,,,,,,,00-0033281,,3,0,2,,,,,,
6449,1058046,"(8:20) (Shotgun) PENALTY on KC-74-J.Taylor, False Start, 5 yards, enforced at BLT 48 - No Play.",TRUE,KC,BLT,NOPL,,,,2,BAL 48,3,7,52,3,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6449,1058047,(8:05) (Shotgun) 15-P.Mahomes pass deep right to 87-T.Kelce to BLT 30 for 23 yards (21-B.Stephens).,FALSE,KC,BLT,PASS,00-0033873,00-0030506,,2,KC 47,3,12,47,3,23,1,1,1,0,1,0,1,L,1,5,0,0,1,0,1,0,0,0,0,4,0,1,P,M-SNH,0,1,0,0,0,0,0,1,0,0,0,6.4,0,3.5,20,3,3,OPN,S,,4 - Deep Out,SD,,,P,00-0036081,00-0036660,P,00-0036940,00-0035237,,,,,,,,,,,,,00-0036987,,1,0,2,,,,,,
