gid,pid,detail,off,def,type,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,dot,ptck1,ptck2,sk1,sk2,ptm,pen,desc,pey,act,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,td,td_type,epa,dpbk,stunt,db_count
6733,1105992,(8:58) 26-S.Barkley right end to KC 28 for -2 yards (54-L.Chenal).,PHI,KC,RUSH,45,4,8,58,37,6,2,2,2,3,74,4,-2,0,0,0,0,0,00-0034844,0,RE,00-0037819,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.886,,0,4
6733,1105993,Timeout #2 by PHI at 08:13.,NA,NA,NOPL,0,4,8,13,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0,,0,
6733,1105994,(8:13) (Shotgun) 26-S.Barkley left tackle to KC 27 for 1 yard (98-T.Wharton).,PHI,KC,RUSH,8,4,8,13,37,6,1,2,3,5,72,4,1,0,0,1,0,0,00-0034844,0,LT,00-0035890,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-1.195,,0,5
6733,1105995,Timeout #2 by KC at 08:05.,NA,NA,NOPL,0,4,8,5,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0,,0,
6733,1105996,"(8:05) (Field Goal formation) PENALTY on PHI-68-J.Mailata, False Start, 5 yards, enforced at KC 27 - No Play.",PHI,KC,NOPL,0,4,8,5,37,6,1,1,4,4,73,4,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,PHI,00-0034429,False Start,-5,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.645,,0,
6733,1105997,"(8:05) 4-J.Elliott 50 yard field goal is GOOD, Center-49-R.Lovato, Holder-10-B.Mann.",PHI,KC,FGXP,4,4,8,5,37,6,1,1,4,9,68,4,0,1,0,0,0,3,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,FG,00-0033787,50,1,,,,0,,,0,,,,0,,,0,,1.457,,0,
6733,1105998,4-J.Elliott kicks 69 yards from PHI 35 to KC -4. 81-N.Remigio to KC 25 for 29 yards (54-J.Trotter).,KC,PHI,KOFF,7,4,8,1,6,40,1,1,0,0,65,4,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0033787,69,40,0,00-0038519,29,0,,-0.006,,0,
6733,1105999,(7:54) (Shotgun) 15-P.Mahomes pass short right to 87-T.Kelce to KC 34 for 9 yards (53-Z.Baun).,KC,PHI,PASS,37,4,7,54,6,40,1,1,1,10,25,2,9,1,0,1,0,0,,0,,,,00-0033873,1,0,SR,00-0030506,,5,00-0036418,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.618,00-0033873,0,5
6733,1106000,(7:17) (Shotgun) 15-P.Mahomes pass short left to 10-I.Pacheco to KC 39 for 5 yards (42-O.Burks).,KC,PHI,PASS,31,4,7,17,6,40,1,1,2,1,34,2,5,1,1,1,0,0,,0,,,,00-0033873,1,0,SL,00-0037197,,0,00-0034754,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.053,00-0033873,0,5
6733,1106001,(6:46) (Shotgun) 15-P.Mahomes pass short right to 87-T.Kelce to KC 47 for 8 yards (97-M.Ojomo).,KC,PHI,PASS,26,4,6,46,6,40,1,1,1,10,39,2,8,1,0,1,0,0,,0,,,,00-0033873,1,0,SR,00-0030506,,2,00-0038412,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.48,00-0033873,0,5
6733,1106002,"(6:20) (No Huddle, Shotgun) 15-P.Mahomes pass short right to 1-X.Worthy ran ob at PHI 41 for 12 yards (2-D.Slay).",KC,PHI,PASS,16,4,6,20,6,40,1,1,2,2,47,3,12,1,1,1,1,0,,0,,,,00-0033873,1,0,SR,00-0039894,,9,00-0030062,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.765,00-0033873,0,5
6733,1106003,"(6:04) (No Huddle, Shotgun) 15-P.Mahomes pass short right to 1-X.Worthy to PHI 36 for 5 yards (2-D.Slay).",KC,PHI,PASS,34,4,6,4,6,40,1,1,1,10,59,3,5,0,0,1,1,0,,0,,,,00-0033873,1,0,SR,00-0039894,,-1,00-0030062,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.077,00-0033873,0,5
6733,1106004,(5:30) (Shotgun) 15-P.Mahomes pass incomplete short left to 5-M.Brown.,KC,PHI,PASS,4,4,5,30,6,40,1,1,2,5,64,4,0,0,0,1,0,0,,0,,,,00-0033873,0,0,SL,00-0035662,,6,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.585,00-0033873,0,5
6733,1106005,"(5:26) (Shotgun) 15-P.Mahomes pass deep left intended for 8-D.Hopkins INTERCEPTED by 8-C.Gardner-Johnson [58-J.Hunt] at PHI 2. 8-C.Gardner-Johnson for 98 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on PHI-98-J.Carter, Defensive Offside, 4 yards, enforced at PHI 36 - No Play.",KC,PHI,NOPL,21,4,5,26,6,40,1,1,3,5,64,4,0,1,0,1,0,0,,0,,,,00-0033873,0,0,,,,0,,,,,PHI,00-0038386,Defensive Offside,4,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.655,00-0033873,0,5
6733,1106006,(5:05) (Shotgun) 34-S.Perine right guard to PHI 24 for 8 yards (53-Z.Baun; 42-O.Burks).,KC,PHI,RUSH,30,4,5,5,6,40,1,1,3,1,68,4,8,1,1,1,0,0,00-0033526,0,RG,00-0036418,00-0034754,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.726,,0,5
6733,1106007,(4:35) (Shotgun) 15-P.Mahomes scrambles right tackle to PHI 17 for 7 yards (93-M.Williams).,KC,PHI,RUSH,36,4,4,35,6,40,1,1,1,10,76,4,7,1,0,1,0,0,00-0033873,0,RT,00-0036916,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.508,00-0033873,0,5
6733,1106008,(3:59) (Shotgun) 15-P.Mahomes pass short left to 5-M.Brown pushed ob at PHI 11 for 6 yards (27-Q.Mitchell) [53-Z.Baun].,KC,PHI,PASS,6,4,3,59,6,40,1,1,2,3,83,5,6,1,1,1,0,0,,0,,,,00-0033873,1,0,SL,00-0035662,,3,00-0039888,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.31,00-0033873,0,5
